tomato_id,label,class_name,is_cherry,source_file,transit_len,valid_slices,IR1_mean,IR2_mean,Green_mean,Red_mean,Blue_mean,IR3_mean,SAT_mean,HUE_mean,IR1_std,Green_std,Red_std,SAT_std,HUE_std,Red_Green_ratio,IR1_IR2_ratio,IR3_IR2_ratio
tomato_0019,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,21,8,2365.5,1744.375,1530.5,1732.25,706.875,2538.5,7436.375,1661.625,813.2038929005269,528.6178744072671,597.0641865470939,280.2029557812898,12.374368670764582,1.1318196593804661,1.3560730843077142,1.4552490063475514
tomato_0020,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,18,7,2039.857142857143,1564.2857142857142,1299.5714285714287,1617.4285714285713,630.1428571428571,2171.285714285714,7627.428571428572,1398.4285714285713,611.385974261603,380.8047868846789,478.362434820732,256.9168848368781,47.839513455082795,1.244586117717816,1.304018256503993,1.3880365208070724
tomato_0021,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,18,7,1851.5714285714287,1418.0,1141.0,1482.857142857143,573.0,1921.2857142857142,7686.428571428572,1279.142857142857,626.9236681720397,372.92716000134214,484.77397777088817,242.49663718826915,12.850792082313726,1.2996118578974798,1.3057626343538804,1.3549264462175246
tomato_0022,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,9,4,984.0,797.5,590.0,585.25,336.5,933.5,5348.0,2109.0,314.3405796266209,152.3701633085253,144.01012695872006,222.1966096351007,91.12994385308633,0.9919491357296757,1.233855783901495,1.170532900682973
tomato_0023,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,33,8,3659.5,2707.875,2314.625,2195.25,1284.125,3609.75,5668.75,2330.5,1398.0130798488874,887.7275865135333,836.0081595637347,347.2626630417632,60.09991680526688,0.9484257668156795,1.351428698328288,1.3330563584616852
tomato_0024,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,24,9,3177.3333333333335,2424.6666666666665,2239.5555555555557,2519.3333333333335,1186.111111111111,3324.6666666666665,6682.888888888889,1627.6666666666667,1448.5474621150665,1023.8651169845458,1146.441232684868,367.25210838211825,80.36790404135223,1.1249255754493301,1.3104206709770938,1.3711850369623932
tomato_0025,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,21,8,2531.875,1994.5,2030.625,2181.75,1263.375,2606.25,5327.0,1722.75,973.8137747316696,780.391831527141,837.6606455736459,337.09176368291344,25.777897509300484,1.0744228940625526,1.2694284218128433,1.306718469256864
tomato_0026,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,15,6,1518.1666666666667,1203.5,1232.0,1352.0,763.5,1639.8333333333333,5460.0,1637.3333333333333,393.7387035416593,297.544618502839,334.1047739856466,167.6663353210775,67.46455859684154,1.0974025884951089,1.261459621148376,1.36255365160598
tomato_0027,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,21,8,3073.25,2386.25,2118.125,2274.375,1187.0,3229.0,6028.125,1757.25,1470.6867929158618,958.299451782017,1023.3806633618094,247.6215069703876,31.617129173010902,1.0737680681085011,1.287899418384916,1.35316919286257
tomato_0028,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,15,6,1463.5,1051.6666666666667,900.1666666666666,1055.5,399.5,1541.6666666666667,7762.0,1567.8333333333333,293.7623188906297,167.0801205011137,198.44369478519593,52.17662311802097,34.41172280875613,1.17256062389305,1.391600620682086,1.4659270859024365
